45	Adidas	Mens Throb M Running Shoes	4.0 out of 5 stars	(5,334)	1,350	₹2,699	(50% off)	https://m.media-amazon.com/images/I/71Ls6U8X+sL._AC_UL320_.jpg	1	45
46	Adidas	Mens Harquin M Running Shoe	3.6 out of 5 stars	(11)	2,000	₹3,999	(50% off)	https://m.media-amazon.com/images/I/61fWZXOEd9L._AC_UL320_.jpg	1	46
47	Adidas	Mens Glick M Running Shoe	4.1 out of 5 stars	(845)	1,800	₹3,599	(50% off)	https://m.media-amazon.com/images/I/81m+uqI-lXL._AC_UL320_.jpg	1	47
48	Adidas	mens Gladi Ii Outdoor Sandals	4.2 out of 5 stars	(461)	1,819	₹2,799	(35% off)	https://m.media-amazon.com/images/I/71xhps7xYmL._AC_UL320_.jpg	1	48
49	Adidas	Men's Regular, Tapered Fit Cotton Track Pant	4.7 out of 5 stars	(15,436)	7,512	₹10,740	(30% off)	https://m.media-amazon.com/images/I/61MqdF2xPdL._AC_UL320_.jpg	1	49
50	Nike	Womens W Revolution 6 Nn Running Shoe	\N	\N	3,069	₹3,695	(17% off)	https://m.media-amazon.com/images/I/5163VsMNGXL._AC_UL320_.jpg	1	50
51	Nike	Mens Flex Experience Rn 10 Running Shoe	3.9 out of 5 stars	(5,533)	2,299	₹4,995	(54% off)	https://m.media-amazon.com/images/I/7175Z5h5AiL._AC_UL320_.jpg	1	51
52	Nike	Mens Offcourt Slide Flip Flops	4.6 out of 5 stars	(458)	1,671	₹2,495	(33% off)	https://m.media-amazon.com/images/I/61CsX6VmawL._AC_UL320_.jpg	1	52
53	Nike	24ltrs OBSIDIAN/UNIGOLD Laptop Bagpack(BA5363-451)	4.3 out of 5 stars	(138)	2,536	₹2,995	(15% off)	https://m.media-amazon.com/images/I/91lE6rdpRnL._AC_UL320_.jpg	1	53
54	Nike	Women's WMNS City Trainer 2 Training Shoes	4.0 out of 5 stars	(486)	3,364	₹5,295	(36% off)	https://m.media-amazon.com/images/I/615wYR92vdL._AC_UL320_.jpg	1	54
55	Nike	Womens Downshifter 12 Sports Shoes	5.0 out of 5 stars	(4)	2,956	₹3,995	(26% off)	https://m.media-amazon.com/images/I/51hIiReD02L._AC_UL320_.jpg	1	55
56	Nike	Boys Flex Show Tr 5 (Gs/Ps) Running Shoes	3.5 out of 5 stars	(53)	2,531	₹4,395	(42% off)	https://m.media-amazon.com/images/I/81jhed7NWxL._AC_UL320_.jpg	1	56
57	Adidas	Stadium II Backpack, Collegiate Blue, One Size	4.8 out of 5 stars	(5,937)	14,238	₹20,340	(30% off)	https://m.media-amazon.com/images/I/71uA5fPn86S._AC_UL320_.jpg	1	57
58	Adidas	Men's Fassar Sandal	4.2 out of 5 stars	(1,767)	1,120	₹2,799	(60% off)	https://m.media-amazon.com/images/I/81vk10P7kHL._AC_UL320_.jpg	1	58
59	Adidas	Defender 4 Medium Duffel Bag, Black/White	4.8 out of 5 stars	(3,978)	8,000	₹11,430	(30% off)	https://m.media-amazon.com/images/I/71PDtbuVMMS._AC_UL320_.jpg	1	59
60	Adidas	Excel 6 Backpack	4.7 out of 5 stars	(2,400)	11,561	₹16,520	(30% off)	https://m.media-amazon.com/images/I/81qQBlN3WiS._AC_UL320_.jpg	1	60
61	Adidas	Men's Slim Fit Trackpants	4.7 out of 5 stars	(33,949)	11,900	₹17,000	(30% off)	https://m.media-amazon.com/images/I/51fquCMOlDL._AC_UL320_.jpg	1	61
62	Adidas	Unisex Excel Backpack, Black, ONE SIZE	4.7 out of 5 stars	(3,020)	9,667	₹13,810	(30% off)	https://m.media-amazon.com/images/I/71iJN2qyelS._AC_UL320_.jpg	1	62
63	Nike	Unisex-Adult Flex Runner (Gs) Running Shoes	4.1 out of 5 stars	(118)	1,695	₹3,495	(51% off)	https://m.media-amazon.com/images/I/71vFAuS0Q-L._AC_UL320_.jpg	1	63
64	Nike	Men's Revolution 6 Nn Running Shoe	4.0 out of 5 stars	(696)	2,399	₹3,695	(35% off)	https://m.media-amazon.com/images/I/81wVG0YGiwL._AC_UL320_.jpg	1	64
65	Nike	Mens Flex Experience Sports Shoes	2.8 out of 5 stars	(32)	3,995	₹4,995	(20% off)	https://m.media-amazon.com/images/I/51f1M-cLJeL._AC_UL320_.jpg	1	65
66	Nike	30 Ltrs Midnight Navy/Black/White Laptop Backpack (BA5959-410)	4.5 out of 5 stars	(396)	14,238	₹20,340	(30% off)	https://m.media-amazon.com/images/I/91zJ7D12OFL._AC_UL320_.jpg	1	66
67	Nike	Womens Md Runner 2 Running Shoe	4.4 out of 5 stars	(1,497)	4,299	₹5,495	(22% off)	https://m.media-amazon.com/images/I/81NUaqRPPYL._AC_UL320_.jpg	1	67
68	Nike	Brasilia Training Gymsack	4.7 out of 5 stars	(2,269)	7,668	₹10,960	(30% off)	https://m.media-amazon.com/images/I/81A9WWIhGDL._AC_UL320_.jpg	1	68
69	Adidas	mens Gladi Ii Outdoor Sandals	4.2 out of 5 stars	(461)	1,959	₹2,799	(30% off)	https://m.media-amazon.com/images/I/71xhps7xYmL._AC_UL320_.jpg	1	69
70	Adidas	Men's Flat	4.0 out of 5 stars	(19)	882	₹1,799	(51% off)	https://m.media-amazon.com/images/I/71d0e0k-3cL._AC_UL320_.jpg	1	70
71	Adidas	Original Heel & Toe Terry Ankle Cotton Socks - 2 Pairs (4N) (AD-0826) (Lt Grey Mel/Wonder Steel)	5.0 out of 5 stars	(1)	399	\N	\N	https://m.media-amazon.com/images/I/81e5giPnsoL._AC_UL320_.jpg	1	71
